,resource_id,sg_dep_median,sg_dep_cat,identity,ParentGlobalID,gitonga_s,gitonga_p,portuguese,scientific,family,phylum,category,focal,id,ccp,gender,fish_pract,pract_cat
91,01,0.0,none,0.2333333333333333,fa135abb-d0cf-4f86-81fa-d786fd8a957a,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,02022023MARB04,marrambone,f,shrimp_net,shrimp_net
238,01,0.0,none,0.2333333333333333,f1ab0d58-a047-4854-9fab-5639a38d0919,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,14022023SAHB02,sahane,m,hand_line,fish
133,01,0.0,none,0.1666666666666666,b1aecc22-d28c-4728-9c70-966d76a26e88,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,31012023MUB02,mucucune,m,fence_trap,fish
108,01,0.0,none,0.2,e8d84b41-6838-4a4d-b98d-66385c122993,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,02022023MARB05,marrambone,m,fence_trap,fish
231,01,0.0,none,0.1,ba1de70c-3350-4192-9540-077338da9ce6,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,17022023NHCHB05,nhamaxaxa,m,hand_line,fish
144,01,0.0,none,0.5,942decee-217f-4b36-be4c-3948ed7665d0,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,31012023MUCB05,mucucune,m,hand_line,fish
116,01,0.0,none,0.1666666666666666,a9a9124d-f801-444e-a6ac-6f1064ecb6a6,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,02022023MARB06,marrambone,m,hand_line,fish
228,01,0.0,none,0.3,affb9ddf-bde5-4005-8a5c-962978da994f,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,17022023NHCHB04,nhamaxaxa,m,gill_net,fish
210,01,0.0,none,0.0666666666666666,8407b1b2-9c62-4161-a560-a8c8415ca76a,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,08022023MADB06,madava,m,gill_net,fish
130,01,0.0,none,0.3333333333333333,47619fa4-71bc-4eef-b706-4e52c3cd7db8,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,31012023MUCB01,mucucune,m,basket_trap,fish
177,01,0.0,none,0.1,caac8748-ebed-413c-a5d2-a635b5bd8932,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,09022023NHMPB04,nhampossa,m,fence_trap,fish
35,01,0.0,none,0.4,5861a90d-3554-4a81-b5e8-e8f9870b88fb,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,04022023CHAB02,chamane,m,hand_line,fish
120,01,0.0,none,0.2333333333333333,c4bf73af-5f99-4b43-abd8-9373a369c415,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,02022023MARB07,marrambone,m,gill_net,fish
37,01,0.0,none,0.2333333333333333,d4d143b4-de71-42bd-be9e-b42bcadd5863,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,04022023CHAB03,chamane,m,hand_line,fish
38,01,0.0,none,0.2333333333333333,d4d143b4-de71-42bd-be9e-b42bcadd5863,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,04022023CHAB03,chamane,m,shrimp_net,shrimp_net
146,01,0.0,none,0.1333333333333333,72b20ec3-78b0-44b1-8f62-06504a26e4c5,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,31012023MUCB06,mucucune,m,gill_net,fish
66,01,0.0,none,0.2,fb35740b-c147-41b7-b604-35eed1bf5c77,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,04022023CHAB08,chamane,m,gill_net,fish
125,01,0.0,none,0.2666666666666666,926e019e-024f-43c8-8bfb-1a8170a861dd,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,02022023MARB09,marrambone,f,shrimp_net,shrimp_net
67,01,0.0,none,0.2,fb35740b-c147-41b7-b604-35eed1bf5c77,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,04022023CHAB08,chamane,m,shrimp_net,shrimp_net
167,01,0.0,none,0.1,a00016e0-0782-4f50-a9a8-4a5e202f5c50,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,09022023NHMPB02,nhampossa,m,gill_net,fish
54,01,0.0,none,0.3333333333333333,6b249316-c1e7-4f4f-a49f-435e11af63a2,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,04022023CHAB07,chamane,m,gill_net,fish
