,focal_resource,gitonga_s,gitonga_p,portuguese,scientific,family,phylum,category,sg_dep_cat,cap_income_hot,cap_income_cold,prop_income_hot,prop_income_cold,id,ccp,gender,fish_pract,pract_cat
217,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,910.0,419.99999999999994,0.014380530973451327,0.00984413453650533,O1O22023MOR06,morrumbene,m,drag_net,fish
8,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,75.0,0.0,0.004580618892508144,0.0,13022023NHMUB03,nhamua,m,gill_net,fish
3,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,9979.199999999999,12830.4,0.6,0.33287671232876703,16022023NHMUB07,nhamua,m,gill_net,fish
192,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,1248.0000000000002,1040.0,0.34782608695652173,0.3902439024390244,04032023NGUB05,nguja,m,gill_net,fish
17,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,22176.000000000004,2808.0000000000005,0.24526632454432848,0.06302747351409589,16022023NHMUB06,nhamua,m,gill_net,fish
104,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,6400.0,2133.333333333333,0.19692307692307692,0.10408196454708082,31012023MUB02,mucucune,m,fence_trap,fish
99,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,15839.999999999998,17600.0,0.3374233128834355,0.24325519681556834,31012023MUCB01,mucucune,m,fence_trap,fish
65,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,0.0,0.0,0.0,0.0,02022023MARB02,marrambone,f,shrimp_net,shrimp_net
168,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,6400.0,3600.0,0.3595505617977528,0.33128834355828224,09032023NHCHB07,nhamaxaxa,m,hand_line,fish
9,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,1400.0,219.99999999999997,0.10688110749185668,0.04016400301230022,13022023NHMUB03,nhamua,m,gill_net,fish
72,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,0.0,0.0,0.0,0.0,02022023MARB03,marrambone,f,shrimp_net,shrimp_net
19,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,0.0,0.0,0.0,0.0,15022023JOSB01,josina_machel,m,gill_net,fish
76,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,950.0,12600.0,0.03423423423423424,0.440354147250699,02022023MARB04,marrambone,f,gill_net,fish
162,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,0.0,0.0,0.0,0.0,17022023NHCHB04,nhamaxaxa,m,gill_net,fish
