,focal_resource,gitonga_s,gitonga_p,portuguese,scientific,family,phylum,category,focal,sg_dep_median,sg_dep_cat,prop_cap_hot,prop_cap_cold,days_hot,days_cold,cap_daily_hot,cap_daily_cold,cap_monthly_hot,cap_monthly_cold,cap_income_hot,cap_income_cold,val_trade_hot,val_trade_cold,activity_income_hot,activity_income_cold,income_fr_hot,income_fr_cold,tot_income_hot,tot_income_cold,prop_income_hot,prop_income_cold,id,ccp,gender,fish_pract,pract_cat,seagrass
238,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,0.1,0.2,5.0,15.0,25.0,50.0,250.0,,1500.0,9000.0,0.0,0.0,2000.0,0.0,1500.0,9000.0,70135.0,15840.0,0.02138732444571184,0.5681818181818182,24012023CUGB01,kuguana,m,drag_net,fish,0.0
78,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,0.0666666666666666,0.0,2.0,,2.0,,8.0,,448.0,0.0,156.0,0.0,6500.0,6500.0,1404.0,800.0,49668.66666666666,26501.6,0.02826731809457338,0.030186856642617804,02022023MARB05,marrambone,m,fence_trap,fish,0.0
61,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,0.0666666666666666,0.0,2.0,,15.0,,60.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18326.666666666664,15433.333333333334,0.0,0.0,02022023MARB02,marrambone,f,shrimp_net,shrimp_net,0.0
229,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,0.2333333333333333,0.2666666666666666,7.0,10.0,4.0,2.0,56.0,40.0,2800.0,0.0,0.0,0.0,0.0,0.0,2800.0,0.0,4000.0,4000.0,0.7,0.0,19022023ILHB05,ilha,m,hand_line,fish,0.0
236,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,0.4,0.1,5.0,3.0,12.0,6.0,120.0,36.0,2970.0000000000005,594.0,0.0,0.0,0.0,0.0,2970.0000000000005,594.0,5821.200000000001,2178.0,0.5102040816326531,0.2727272727272727,19022023ILHB07,ilha,m,gill_net,fish,0.0
72,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,0.1666666666666666,0.2,3.0,6.0,12.0,6.0,72.0,72.0,7199.999999999999,5040.0,0.0,0.0,0.0,0.0,7199.999999999999,5040.0,27749.999999999996,28613.333333333332,0.2594594594594595,0.1761416589002796,02022023MARB04,marrambone,f,gill_net,fish,0.0
49,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,0.3,0.2333333333333333,9.0,5.0,5.0,2.0,90.0,20.0,13800.0,3066.666666666667,0.0,0.0,0.0,0.0,13800.0,3066.666666666667,30822.619047619046,3834.666666666667,0.4477231470395118,0.7997218358831711,04022023CHAB07,chamane,m,gill_net,fish,0.0
257,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,0.1666666666666666,0.4,5.0,8.0,12.0,36.0,120.0,576.0,1104.0,5299.200000000001,0.0,0.0,0.0,0.0,1104.0,5299.200000000001,12993.6,11817.6,0.08496490579977835,0.4484159220146223,07022023CUGB05,kuguana,m,drag_net,fish,0.0
109,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,0.2,0.0,3.0,,1.0,,6.0,,600.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,5190.0,0.0,0.11560693641618497,0.0,31012023MUCB05,mucucune,m,hand_line,fish,0.0
185,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,0.2,0.2333333333333333,3.0,4.0,4.0,3.0,24.0,24.0,1248.0000000000002,1040.0,0.0,0.0,0.0,0.0,1248.0000000000002,1040.0,3588.000000000001,2665.0,0.34782608695652173,0.3902439024390244,04032023NGUB05,nguja,m,gill_net,fish,0.0
