,focal_resource,gitonga_s,gitonga_p,portuguese,scientific,family,phylum,category,sg_dep_cat,prop_cap_hot,prop_cap_cold,cap_monthly_hot,cap_monthly_cold,id,ccp,gender,fish_pract,pract_cat
60,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.3666666666666666,0.5666666666666667,10.0,12.0,26012023MARB01,marrambone,f,shrimp_net,shrimp_net
107,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.6,0.6333333333333333,128.0,450.0,31012023MUCB04,mucucune,f,glean,glean
248,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.3,0.4666666666666667,30.0,10.0,07022023CUGB03,kuguana,f,glean,glean
33,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.7666666666666667,0.9,120.0,48.0,15022023JOSB07,josina_machel,m,diving,fish
227,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,1.0,1.0,32.0,16.0,18022023ILHB03,ilha,f,glean,glean
28,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.1333333333333333,0.1333333333333333,4.0,4.0,15022023JOSB05,josina_machel,f,shrimp_net,shrimp_net
253,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.1666666666666666,0.0,360.0,,07022023CUGB04,kuguana,f,drag_net,fish
116,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.5666666666666667,0.5666666666666667,176.0,176.0,31012023MUCB06,mucucune,m,gill_net,fish
26,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.3333333333333333,0.3333333333333333,24.0,24.0,15022023JOSB04,josina_machel,m,shrimp_net,shrimp_net
216,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.3,0.2666666666666666,,150.0,01022023MORB07,morrumbene,m,drag_net,fish
65,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.1666666666666666,0.2666666666666666,300.0,120.0,02022023MARB02,marrambone,f,glean,glean
70,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.4,0.2666666666666666,24.0,6.0,02022023MARB03,marrambone,f,shrimp_net,shrimp_net
122,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.0666666666666666,0.1333333333333333,16.0,12.0,08022023MADB03,madava,m,fence_trap,fish
233,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.1666666666666666,0.1,6.0,36.0,19022023ILHB08,ilha,f,glean,glean
91,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.1,0.0666666666666666,96.0,16.0,02022023MARB07,marrambone,m,gill_net,fish
241,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,high,0.1333333333333333,0.1333333333333333,,150.0,24012023CUGB01,kuguana,m,drag_net,fish
265,52,gihologo,sihologo,Santola,Scylla serrata ,Portunidae,crustacean,crabs,none,0.2666666666666666,0.3333333333333333,10.0,16.0,07022023CUGB07,kuguana,m,fence_trap,fish
127,52,gihologo,sihologo,Santola,Scylla serrata ,Portunidae,crustacean,crabs,none,0.0333333333333333,0.3,64.0,32.0,08022023MADB04,madava,f,shrimp_net,shrimp_net
262,52,gihologo,sihologo,Santola,Scylla serrata ,Portunidae,crustacean,crabs,none,0.2333333333333333,0.4,30.0,8.0,07022023CUGB06,kuguana,m,fence_trap,fish
144,52,gihologo,sihologo,Santola,Scylla serrata ,Portunidae,crustacean,crabs,none,0.2333333333333333,0.2666666666666666,6.0,6.0,08022023MADB08,madava,f,shrimp_net,shrimp_net
247,52,gihologo,sihologo,Santola,Scylla serrata ,Portunidae,crustacean,crabs,none,0.1,0.2,150.0,180.0,24012023CUGB02,kuguana,m,shrimp_net,shrimp_net
138,52,gihologo,sihologo,Santola,Scylla serrata ,Portunidae,crustacean,crabs,none,0.2,0.1666666666666666,24.0,72.0,08022023MADB06,madava,m,gill_net,fish
133,52,gihologo,sihologo,Santola,Scylla serrata ,Portunidae,crustacean,crabs,none,0.1666666666666666,0.2,48.0,144.0,08022023MADB05,madava,m,gill_net,fish
119,52,gihologo,sihologo,Santola,Scylla serrata ,Portunidae,crustacean,crabs,none,0.1333333333333333,0.1333333333333333,12.0,6.0,08022023MADB01,madava,f,shrimp_net,shrimp_net
123,52,gihologo,sihologo,Santola,Scylla serrata ,Portunidae,crustacean,crabs,none,0.4,0.3,96.0,16.0,08022023MADB03,madava,m,fence_trap,fish
239,53,lisaba,masaba,Camarao tigre gigante,Penaeus monodon,Penaeidae,crustacean,prawns,none,0.0666666666666666,0.0666666666666666,16.0,0.0,24012023CUGB01,kuguana,m,drag_net,fish
259,53,lisaba,masaba,Camarao tigre gigante,Penaeus monodon,Penaeidae,crustacean,prawns,none,0.1666666666666666,0.1333333333333333,16.0,4.0,07022023CUGB05,kuguana,m,drag_net,fish
245,53,lisaba,masaba,Camarao tigre gigante,Penaeus monodon,Penaeidae,crustacean,prawns,none,0.2666666666666666,0.2333333333333333,450.0,84.0,24012023CUGB02,kuguana,m,gill_net,fish
266,53,lisaba,masaba,Camarao tigre gigante,Penaeus monodon,Penaeidae,crustacean,prawns,none,0.4,0.4333333333333333,32.0,12.0,07022023CUGB07,kuguana,m,fence_trap,fish
263,53,lisaba,masaba,Camarao tigre gigante,Penaeus monodon,Penaeidae,crustacean,prawns,none,0.2,0.2333333333333333,24.0,8.0,07022023CUGB06,kuguana,m,fence_trap,fish
254,53,lisaba,masaba,Camarao tigre gigante,Penaeus monodon,Penaeidae,crustacean,prawns,none,0.3333333333333333,0.0666666666666666,72.0,60.0,07022023CUGB04,kuguana,f,shrimp_net,shrimp_net
134,53,lisaba,masaba,Camarao tigre gigante,Penaeus monodon,Penaeidae,crustacean,prawns,none,0.2,0.2666666666666666,20.0,56.0,08022023MADB05,madava,m,gill_net,fish
124,53,lisaba,masaba,Camarao tigre gigante,Penaeus monodon,Penaeidae,crustacean,prawns,none,0.1666666666666666,0.1333333333333333,84.0,14.0,08022023MADB03,madava,m,fence_trap,fish
120,53,lisaba,masaba,Camarao tigre gigante,Penaeus monodon,Penaeidae,crustacean,prawns,none,0.4,0.2333333333333333,36.0,,08022023MADB01,madava,f,fence_trap,fish
139,53,lisaba,masaba,Camarao tigre gigante,Penaeus monodon,Penaeidae,crustacean,prawns,none,0.2666666666666666,0.2333333333333333,28.0,36.0,08022023MADB06,madava,m,gill_net,fish
145,53,lisaba,masaba,Camarao tigre gigante,Penaeus monodon,Penaeidae,crustacean,prawns,none,0.1666666666666666,0.0666666666666666,10.5,10.5,08022023MADB08,madava,f,shrimp_net,shrimp_net
212,54,honho,mihonho,Lula,Loliginidae,Loliginidae,cephlopod,cephlopods,low,0.1333333333333333,0.1,50.0,150.0,O1O22023MOR06,morrumbene,m,drag_net,fish
217,54,honho,mihonho,Lula,Loliginidae,Loliginidae,cephlopod,cephlopods,low,0.1,0.1666666666666666,60.0,12.0,01022023MORB07,morrumbene,m,drag_net,fish
260,55,gudua,,Choco,Sepiidae,Sepiidae,cephlopod,cephlopods,high,0.3,0.1333333333333333,200.0,84.0,07022023CUGB05,kuguana,m,drag_net,fish
255,55,gudua,,Choco,Sepiidae,Sepiidae,cephlopod,cephlopods,high,0.1666666666666666,0.2333333333333333,240.0,120.0,07022023CUGB04,kuguana,f,drag_net,fish
242,55,gudua,,Choco,Sepiidae,Sepiidae,cephlopod,cephlopods,high,0.1333333333333333,0.1666666666666666,450.0,84.0,24012023CUGB01,kuguana,m,drag_net,fish
29,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,0.8666666666666667,0.8666666666666667,96.0,96.0,15022023JOSB05,josina_machel,f,shrimp_net,shrimp_net
213,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,0.1333333333333333,0.1,180.0,120.0,O1O22023MOR06,morrumbene,m,drag_net,fish
121,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,0.4666666666666667,0.6333333333333333,150.0,18.0,08022023MADB01,madava,f,shrimp_net,shrimp_net
14,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,1.0,1.0,96.0,12.6,16022023NHMUB04,nhamua,f,shrimp_net,shrimp_net
118,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,1.0,1.0,105.0,94.5,31012023MUCB08,mucucune,f,shrimp_net,shrimp_net
218,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,0.2666666666666666,0.0333333333333333,,,01022023MORB07,morrumbene,m,drag_net,fish
117,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,1.0,1.0,21.0,10.5,31012023MUCB07,mucucune,f,shrimp_net,shrimp_net
264,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,0.5666666666666667,0.3666666666666666,96.0,28.0,07022023CUGB06,kuguana,m,fence_trap,fish
94,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,0.8,0.8666666666666667,33.599999999999994,11.2,02022023MARB09,marrambone,f,shrimp_net,shrimp_net
83,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,0.1,0.0,31.499999999999996,,02022023MARB05,marrambone,m,fence_trap,fish
224,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,0.2,0.4,33.599999999999994,62.99999999999999,18022023ILHB02,ilha,f,shrimp_net,shrimp_net
228,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,1.0,1.0,144.0,33.599999999999994,18022023ILHB04,ilha,m,shrimp_net,shrimp_net
76,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,0.1666666666666666,0.1666666666666666,144.0,42.0,02022023MARB04,marrambone,f,shrimp_net,shrimp_net
71,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,0.4333333333333333,0.6333333333333333,70.0,14.0,02022023MARB03,marrambone,f,shrimp_net,shrimp_net
232,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,0.8333333333333334,0.1666666666666666,336.0,7.0,1902023ILHB06,ilha,f,shrimp_net,shrimp_net
66,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,0.2333333333333333,0.3333333333333333,73.5,52.5,02022023MARB02,marrambone,f,shrimp_net,shrimp_net
17,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,1.0,1.0,21.0,15.749999999999998,16022023NHMUB08,nhamua,f,shrimp_net,shrimp_net
256,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,0.1,0.3666666666666666,100.0,25.0,07022023CUGB04,kuguana,f,shrimp_net,shrimp_net
58,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,0.1666666666666666,0.1666666666666666,120.0,48.0,04022023CHAB08,chamane,m,shrimp_net,shrimp_net
53,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,0.1333333333333333,0.0333333333333333,1.0,0.0,04022023CHAB07,chamane,m,hand_line,fish
240,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,0.2,0.1333333333333333,,0.0,24012023CUGB01,kuguana,m,drag_net,fish
46,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,1.0,1.0,105.0,105.0,04022023CHAB05,chamane,m,shrimp_net,shrimp_net
244,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,0.2666666666666666,0.1333333333333333,,75.0,24012023CUGB02,kuguana,m,shrimp_net,shrimp_net
45,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,1.0,1.0,96.0,5.6,04022023CHAB04,chamane,f,shrimp_net,shrimp_net
44,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,0.2333333333333333,0.1,96.0,24.0,04022023CHAB03,chamane,m,shrimp_net,shrimp_net
249,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,0.1666666666666666,0.0666666666666666,9.0,,07022023CUGB03,kuguana,f,glean,glean
27,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,0.5333333333333333,0.5333333333333333,73.5,73.5,15022023JOSB04,josina_machel,m,shrimp_net,shrimp_net
59,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,0.6333333333333333,0.4333333333333333,35.0,5.25,26012023MARB01,marrambone,f,shrimp_net,shrimp_net
174,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,1.0,1.0,34.65,23.099999999999998,14022023SAHB07,sahane,f,shrimp_net,shrimp_net
128,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,0.2333333333333333,0.3,64.0,24.0,08022023MADB04,madava,f,shrimp_net,shrimp_net
166,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,1.0,1.0,8.399999999999999,7.0,14022023SAHB01,sahane,m,shrimp_net,shrimp_net
163,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,0.3333333333333333,0.3333333333333333,33.599999999999994,4.199999999999999,09032023NHCHB08,nhamaxaxa,f,shrimp_net,shrimp_net
148,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,0.2666666666666666,0.1,17.15,5.6,17022023NHCHB01,nhamaxaxa,f,shrimp_net,shrimp_net
146,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,0.4,0.3,24.5,28.0,08022023MADB08,madava,f,shrimp_net,shrimp_net
141,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,0.2,0.2,10.0,7.5,08022023MADB07,madava,f,glean,glean
140,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,0.3333333333333333,0.2666666666666666,320.0,40.0,08022023MADB06,madava,m,gill_net,fish
190,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,0.6666666666666666,0.3333333333333333,62.99999999999999,21.0,04032023NGUB07,nguja,f,shrimp_net,shrimp_net
192,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,1.0,1.0,31.499999999999996,8.399999999999999,04032023NGUB08,nguja,f,shrimp_net,shrimp_net
125,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,0.3666666666666666,0.4333333333333333,112.0,42.0,08022023MADB03,madava,m,fence_trap,fish
194,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,0.5333333333333333,0.6333333333333333,30.0,36.0,01022023MORB01,morrumbene,m,shrimp_net,shrimp_net
195,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,0.4666666666666667,0.3333333333333333,24.5,14.0,01022023MORB02,morrumbene,f,shrimp_net,shrimp_net
261,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,0.2333333333333333,0.1333333333333333,70.0,12.0,07022023CUGB05,kuguana,m,drag_net,fish
208,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,0.1,0.1,40.0,24.0,01022023MORBO5,morrumbene,m,fence_trap,fish
135,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,0.3,0.1666666666666666,560.0,40.0,08022023MADB05,madava,m,gill_net,fish
199,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,0.6,0.4,25.0,7.5,01022023MORB03,morrumbene,f,shrimp_net,shrimp_net
267,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,mod,0.3333333333333333,0.2333333333333333,32.0,16.0,07022023CUGB07,kuguana,m,fence_trap,fish
225,60,litewo,matewo,,Pinna muricata,Pinnidae,mollusc,bivalve,high,0.2,0.3,31.499999999999996,44.099999999999994,18022023ILHB02,ilha,f,glean,glean
34,60,litewo,matewo,,Pinna muricata,Pinnidae,mollusc,bivalve,high,0.3,0.5333333333333333,28.0,12.25,09032023JOSB08,josina_machel,f,glean,glean
48,60,litewo,matewo,,Pinna muricata,Pinnidae,mollusc,bivalve,high,0.2333333333333333,0.1333333333333333,8.399999999999999,5.6,04022023CHAB06,chamane,f,glean,glean
234,60,litewo,matewo,,Pinna muricata,Pinnidae,mollusc,bivalve,high,0.2666666666666666,0.2333333333333333,9.1,36.4,19022023ILHB08,ilha,f,glean,glean
1,60,litewo,matewo,,Pinna muricata,Pinnidae,mollusc,bivalve,high,0.3333333333333333,0.3333333333333333,5.6,5.6,16022023NHMUB05,nhamua,f,glean,glean
12,60,litewo,matewo,,Pinna muricata,Pinnidae,mollusc,bivalve,high,0.1666666666666666,0.3333333333333333,10.5,6.3,13022023NHMUB03,nhamua,m,glean,glean
35,61,livalo,mavalo,ostra,Margaritidae,Margaritidae,mollusc,bivalve,high,0.5333333333333333,0.4666666666666667,192.0,12.25,09032023JOSB08,josina_machel,f,glean,glean
23,61,livalo,mavalo,ostra,Margaritidae,Margaritidae,mollusc,bivalve,high,0.0666666666666666,0.2333333333333333,,140.0,15022023JOSB02,josina_machel,m,diving,fish
226,61,livalo,mavalo,ostra,Margaritidae,Margaritidae,mollusc,bivalve,high,0.3,0.1666666666666666,15.399999999999999,62.99999999999999,18022023ILHB02,ilha,f,glean,glean
25,61,livalo,mavalo,ostra,Margaritidae,Margaritidae,mollusc,bivalve,high,0.2,0.3333333333333333,,10.5,15022023JOSB03,josina_machel,m,glean,glean
13,61,livalo,mavalo,ostra,Margaritidae,Margaritidae,mollusc,bivalve,high,0.1666666666666666,0.3333333333333333,7.35,4.199999999999999,13022023NHMUB03,nhamua,m,glean,glean
2,61,livalo,mavalo,ostra,Margaritidae,Margaritidae,mollusc,bivalve,high,0.2333333333333333,0.2333333333333333,7.0,7.0,16022023NHMUB05,nhamua,f,glean,glean
235,61,livalo,mavalo,ostra,Margaritidae,Margaritidae,mollusc,bivalve,high,0.2333333333333333,0.5333333333333333,18.2,91.0,19022023ILHB08,ilha,f,glean,glean
178,63,nhamunhe,,Amêijoa,Tapes literatus,Veneridae,mollusc,bivalve,none,0.3333333333333333,0.3333333333333333,4.0,3.0,04032023NGUB02,nguja,f,glean,glean
164,63,nhamunhe,,Amêijoa,Tapes literatus,Veneridae,mollusc,bivalve,none,0.2,0.2,1.5,4.0,09032023NHCHB08,nhamaxaxa,f,shrimp_net,shrimp_net
196,64,lihutu,mahutu,Amêijoa,Siliqua polita,Pharidae,mollusc,bivalve,none,0.3333333333333333,0.4666666666666667,20.0,20.0,01022023MORB02,morrumbene,f,glean,glean
203,64,lihutu,mahutu,Amêijoa,Siliqua polita,Pharidae,mollusc,bivalve,none,0.4333333333333333,0.0,48.75,,01022023MOR04,morrumbene,f,glean,glean
200,64,lihutu,mahutu,Amêijoa,Siliqua polita,Pharidae,mollusc,bivalve,none,0.1333333333333333,0.1333333333333333,17.5,2.5,01022023MORB03,morrumbene,f,glean,glean
129,68,nhanguedwa,nhanguedwa,canivetes,Solenidae,Solenidae,mollusc,bivalve,none,0.1,0.0333333333333333,8.0,,08022023MADB04,madava,f,glean,glean
250,68,nhanguedwa,nhanguedwa,canivetes,Solenidae,Solenidae,mollusc,bivalve,none,0.4333333333333333,0.3333333333333333,7.0,3.5,07022023CUGB03,kuguana,f,glean,glean
204,68,nhanguedwa,nhanguedwa,canivetes,Solenidae,Solenidae,mollusc,bivalve,none,0.4,0.5,150.0,50.0,01022023MOR04,morrumbene,f,glean,glean
147,68,nhanguedwa,nhanguedwa,canivetes,Solenidae,Solenidae,mollusc,bivalve,none,0.1,0.1333333333333333,8.0,8.0,08022023MADB08,madava,f,glean,glean
201,68,nhanguedwa,nhanguedwa,canivetes,Solenidae,Solenidae,mollusc,bivalve,none,0.1666666666666666,0.1666666666666666,17.5,2.5,01022023MORB03,morrumbene,f,glean,glean
197,68,nhanguedwa,nhanguedwa,canivetes,Solenidae,Solenidae,mollusc,bivalve,none,0.2,0.2,6.0,6.0,01022023MORB02,morrumbene,f,glean,glean
142,68,nhanguedwa,nhanguedwa,canivetes,Solenidae,Solenidae,mollusc,bivalve,none,0.8,0.8,50.0,40.0,08022023MADB07,madava,f,glean,glean
172,69,simbatsani,simbatsani,,Garfarium pectinatum,Veneridae,mollusc,bivalve,none,0.7,0.3333333333333333,2.0,3.0,14022023SAHB05,sahane,f,glean,glean
169,69,simbatsani,simbatsani,,Garfarium pectinatum,Veneridae,mollusc,bivalve,none,0.1666666666666666,0.1666666666666666,5.0,5.0,14022023SAHB03,sahane,f,glean,glean
170,69,simbatsani,simbatsani,,Garfarium pectinatum,Veneridae,mollusc,bivalve,none,0.9,0.9,21.0,12.0,14022023SAHB04,sahane,f,glean,glean
130,70,nhakumbe,,Amêijoa,Serratina capsoides,Tellinidae,mollusc,bivalve,none,0.2333333333333333,0.1,8.0,6.0,08022023MADB04,madava,f,glean,glean
150,71,nhasastani,,Amêijoa,Callista florida,Veneridae,mollusc,bivalve,high,0.3,0.0,112.5,,17022023NHCHB02,nhamaxaxa,f,glean,glean
165,71,nhasastani,,Amêijoa,Callista florida,Veneridae,mollusc,bivalve,high,0.1,0.1,1.5,1.0,09032023NHCHB08,nhamaxaxa,f,shrimp_net,shrimp_net
67,74,likolo,makolo,Caracóis,Potamididae,Potamididae,mollusc,gastropod,none,0.1666666666666666,0.1666666666666666,10.5,10.5,02022023MARB02,marrambone,f,glean,glean
77,74,likolo,makolo,Caracóis,Potamididae,Potamididae,mollusc,gastropod,none,0.0333333333333333,0.0666666666666666,24.0,24.0,02022023MARB04,marrambone,f,glean,glean
106,78,togoma,dzitogoma,Caracóis,Volema pyrum,Melongenidae,mollusc,gastropod,none,0.5,0.1666666666666666,5.25,2.8,31012023MUCB03,mucucune,f,glean,glean
68,78,togoma,dzitogoma,Caracóis,Volema pyrum,Melongenidae,mollusc,gastropod,none,0.1666666666666666,0.2333333333333333,3.5,7.0,02022023MARB02,marrambone,f,glean,glean
108,78,togoma,dzitogoma,Caracóis,Volema pyrum,Melongenidae,mollusc,gastropod,none,0.4,0.0,7.0,,31012023MUCB04,mucucune,f,glean,glean
131,78,togoma,dzitogoma,Caracóis,Volema pyrum,Melongenidae,mollusc,gastropod,none,0.2333333333333333,0.1,1.0499999999999998,1.0499999999999998,08022023MADB04,madava,f,glean,glean
136,78,togoma,dzitogoma,Caracóis,Volema pyrum,Melongenidae,mollusc,gastropod,none,0.1333333333333333,0.1,3.15,7.0,08022023MADB05,madava,m,gill_net,fish
251,78,togoma,dzitogoma,Caracóis,Volema pyrum,Melongenidae,mollusc,gastropod,none,0.1,0.1333333333333333,4.8999999999999995,2.4499999999999997,07022023CUGB03,kuguana,f,glean,glean
268,78,togoma,dzitogoma,Caracóis,Volema pyrum,Melongenidae,mollusc,gastropod,none,0.2333333333333333,0.2333333333333333,15.749999999999998,15.749999999999998,07022023CUGBO8,kuguana,f,glean,glean
