,focal_resource,gitonga_s,gitonga_p,portuguese,scientific,family,phylum,category,sg_dep_cat,prop_cap_hot,prop_cap_cold,cap_monthly_hot,cap_monthly_cold,id,ccp,gender,fish_pract,pract_cat
176,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,0.4333333333333333,0.1333333333333333,48.0,16.0,04032023NGUB01,nguja,m,hand_line,fish
205,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,0.2,0.3333333333333333,48.0,30.0,01022023MORBO5,morrumbene,m,fence_trap,fish
161,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,0.4,0.2,96.0,36.0,09032023NHCHB07,nhamaxaxa,m,hand_line,fish
79,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,0.5333333333333333,0.5333333333333333,230.0,75.0,02022023MARB05,marrambone,m,fence_trap,fish
6,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,0.4666666666666667,0.0,360.0,,13022023NHMUB01,nhamua,m,fence_trap,fish
73,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,0.1666666666666666,0.1333333333333333,30.0,144.0,02022023MARB04,marrambone,f,gill_net,fish
55,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,0.1666666666666666,0.2333333333333333,100.0,16.0,04022023CHAB08,chamane,m,gill_net,fish
85,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,0.3666666666666666,0.1333333333333333,210.0,24.0,02022023MARB06,marrambone,m,hand_line,fish
9,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,0.1,0.1333333333333333,140.0,24.0,13022023NHMUB03,nhamua,m,gill_net,fish
88,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,0.3,0.3,90.0,,02022023MARB07,marrambone,m,gill_net,fish
50,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,0.2,0.0,225.0,,04022023CHAB07,chamane,m,gill_net,fish
159,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,0.2666666666666666,0.4,12.0,2.0,17022023NHCHB05,nhamaxaxa,m,hand_line,fish
62,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,0.0666666666666666,0.0,90.0,,02022023MARB02,marrambone,f,shrimp_net,shrimp_net
69,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,0.1666666666666666,0.1,3.0,1.0,02022023MARB03,marrambone,f,shrimp_net,shrimp_net
96,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,0.2,0.2,216.0,240.0,31012023MUCB01,mucucune,m,fence_trap,fish
182,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,0.1666666666666666,0.1666666666666666,0.0,0.0,04032023NGUB04,nguja,m,hand_line,fish
155,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,0.1666666666666666,0.1,96.0,12.0,17022023NHCHB04,nhamaxaxa,m,gill_net,fish
41,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,0.1,0.1,70.0,48.0,04022023CHAB03,chamane,m,hand_line,fish
101,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,0.1666666666666666,0.1,120.0,40.0,31012023MUB02,mucucune,m,fence_trap,fish
38,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,0.2666666666666666,0.1,2.0,1.0,04022023CHAB02,chamane,m,hand_line,fish
