,ParentGlobalID,id,ccp,gender,fish_pract,owner,catch_proportion,pract_cat
98,f33778b3-3301-4691-80c6-68692988559b,01022023MORB03,morrumbene,f,glean,,1.0,glean
99,943aa64d-7c5c-4594-944e-529e0b325617,01022023MOR04,morrumbene,f,glean,,1.0,glean
100,d92b97c0-4a75-4f45-9115-4cb6ac9109ad,01022023MORBO5,morrumbene,m,fence_trap,owner,1.0,fish
101,b4a29a62-c0e1-40fd-835b-a134449801ca,O1O22023MOR06,morrumbene,m,drag_net,supervisor,0.35,fish
102,275be6f1-5e39-4787-a0f6-e532bee2ef83,01022023MORB07,morrumbene,m,drag_net,worker,0.1,fish
103,275be6f1-5e39-4787-a0f6-e532bee2ef83,01022023MORB07,morrumbene,m,glean,,1.0,glean
104,3f9d47fc-5dc8-4cf3-9ee0-ac3b9d7d8390,08032023MORB08,morrumbene,m,hand_line,,1.0,fish
105,8423da8b-88cf-49f4-8723-5e442b776d59,18022023ILHB01,ilha,m,fence_trap,owner,1.0,fish
106,b16133a3-e0e9-4edf-8a63-f5fd5cde5cd1,18022023ILHB02,ilha,f,shrimp_net,owner,1.0,shrimp_net
107,b16133a3-e0e9-4edf-8a63-f5fd5cde5cd1,18022023ILHB02,ilha,f,glean,,1.0,glean
108,c3694c07-c810-45ef-8b12-e6c25d1b6feb,18022023ILHB03,ilha,f,glean,,1.0,glean
109,6cd30d28-9c1e-4148-a597-7b9d40fc1ae2,18022023ILHB04,ilha,m,shrimp_net,owner,1.0,shrimp_net
110,f5769b1d-ab41-4ec3-9364-13194af91f08,19022023ILHB05,ilha,m,hand_line,owner,1.0,fish
111,c0927898-6afe-4a7f-98d1-4ec395b0e647,1902023ILHB06,ilha,f,glean,,1.0,glean
112,c0927898-6afe-4a7f-98d1-4ec395b0e647,1902023ILHB06,ilha,f,shrimp_net,owner,0.6,shrimp_net
113,27221a9d-a61e-4908-8da8-4e0e2783119e,19022023ILHB08,ilha,f,glean,,1.0,glean
114,66a27df6-476b-4917-8244-24e557b34ede,19022023ILHB07,ilha,m,gill_net,worker,0.33,fish
115,217d4e9d-94cc-407a-9aaf-9dabfa977971,24012023CUGB01,kuguana,m,drag_net,owner,0.3,fish
